Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.01,0.01,0.36364593986902555
100% Corpus,4,0.01,0.31,0.3531748478877782
100% Corpus,4,0.01,0.61,0.32404591925908366
100% Corpus,4,0.01,0.9099999999999999,0.3364260120429807
100% Corpus,4,0.01,symmetric,0.3488742647693598
100% Corpus,4,0.31,0.01,0.37555770541490774
100% Corpus,4,0.31,0.31,0.3722181821588553
100% Corpus,4,0.31,0.61,0.37985575372528263
100% Corpus,4,0.31,0.9099999999999999,0.3767486734904376
100% Corpus,4,0.31,symmetric,0.35454861303716423
100% Corpus,4,0.61,0.01,0.35559213182331983
100% Corpus,4,0.61,0.31,0.38288277552441835
100% Corpus,4,0.61,0.61,0.37527171411103166
100% Corpus,4,0.61,0.9099999999999999,0.3623383331356119
100% Corpus,4,0.61,symmetric,0.3821434461960309
100% Corpus,4,0.9099999999999999,0.01,0.36251122599119273
100% Corpus,4,0.9099999999999999,0.31,0.375183158083801
100% Corpus,4,0.9099999999999999,0.61,0.37457513791038993
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3748926210880583
100% Corpus,4,0.9099999999999999,symmetric,0.38064130909929283
100% Corpus,4,symmetric,0.01,0.3941499928215916
100% Corpus,4,symmetric,0.31,0.35784950599012366
100% Corpus,4,symmetric,0.61,0.3517228316343477
100% Corpus,4,symmetric,0.9099999999999999,0.3713009254056723
100% Corpus,4,symmetric,symmetric,0.36271315034792545
100% Corpus,4,asymmetric,0.01,0.3612807754919225
100% Corpus,4,asymmetric,0.31,0.37583740100510576
100% Corpus,4,asymmetric,0.61,0.3681922869363441
100% Corpus,4,asymmetric,0.9099999999999999,0.3729790044922206
100% Corpus,4,asymmetric,symmetric,0.38335723903306584
100% Corpus,5,0.01,0.01,0.37297814110657257
100% Corpus,5,0.01,0.31,0.3472535958145107
100% Corpus,5,0.01,0.61,0.36681361435276927
100% Corpus,5,0.01,0.9099999999999999,0.37998613335220865
100% Corpus,5,0.01,symmetric,0.3809224332053508
100% Corpus,5,0.31,0.01,0.364960598473525
100% Corpus,5,0.31,0.31,0.3568713480152773
100% Corpus,5,0.31,0.61,0.3911816922002249
100% Corpus,5,0.31,0.9099999999999999,0.3932404948839718
100% Corpus,5,0.31,symmetric,0.36965952906598726
100% Corpus,5,0.61,0.01,0.3518782144342381
100% Corpus,5,0.61,0.31,0.36054269071122985
100% Corpus,5,0.61,0.61,0.37274760022209363
100% Corpus,5,0.61,0.9099999999999999,0.4078998699614765
100% Corpus,5,0.61,symmetric,0.3563370011151775
100% Corpus,5,0.9099999999999999,0.01,0.34332326938953955
100% Corpus,5,0.9099999999999999,0.31,0.3633920944345407
100% Corpus,5,0.9099999999999999,0.61,0.38901666036258514
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3996230344691809
100% Corpus,5,0.9099999999999999,symmetric,0.3596618275954264
100% Corpus,5,symmetric,0.01,0.37161513911391614
100% Corpus,5,symmetric,0.31,0.3499322435212834
100% Corpus,5,symmetric,0.61,0.3802124058618739
100% Corpus,5,symmetric,0.9099999999999999,0.39840098085636727
100% Corpus,5,symmetric,symmetric,0.3823044005621883
100% Corpus,5,asymmetric,0.01,0.35349735656486697
